"Lotação Proj."|"Ano/Mês Ref. Homologação"|"PF"|"DDH"|
"SUPDE/DERCE/DE410"|"2017/01"|136.040000|0.000000|
"SUPDE/DERCE/DE4D2"|"2017/01"|125.000000|0.000000|
"SUPDE/DERCE/DE4D4"|"2017/01"|143.140000|0.000000|
"SUPDE/DERCE/DE415"|"2017/02"|114.250000|0.000000|
"SUPDE/DERCE/DE4CT"|"2017/02"|9.750000|0.000000|
"SUPDE/DERCE/DE4D2"|"2017/02"|1273.150000|0.090327|
"SUPDE/DERCE/DE411"|"2017/03"|63.000000|0.000000|
"SUPDE/DERCE/DE413"|"2017/03"|202.900000|0.024643|
"SUPDE/DERCE/DE414"|"2017/03"|283.550000|0.014107|
"SUPDE/DERCE/DE4D1"|"2017/03"|5.250000|0.000000|
"SUPDE/DERCE/DE4D4"|"2017/03"|257.730000|0.000000|
"SUPDE/DERCE/DE4D9"|"2017/03"|719.100000|0.000000|
"SUPDE/DERCE/DE410"|"2017/04"|261.530000|0.042060|
"SUPDE/DERCE/DE4D3"|"2017/04"|223.380000|0.085057|
"SUPDE/DERCE/DE4D5"|"2017/04"|17.750000|0.507042|
"SUPDE/DERCE/DE4D6"|"2017/04"|162.550000|0.006152|
"SUPDE/DERCE/DE4D9"|"2017/04"|27.000000|0.000000|
"SUPDE/DERCE/DE411"|"2017/05"|37.230000|0.000000|
"SUPDE/DERCE/DE414"|"2017/05"|109.050000|0.000000|
"SUPDE/DERCE/DE4CT"|"2017/05"|491.850000|0.016265|
"SUPDE/DERCE/DE4D1"|"2017/05"|410.600000|0.228933|
"SUPDE/DERCE/DE4D5"|"2017/05"|10.000000|0.000000|
"SUPDE/DERCE/DE411"|"2017/06"|782.630000|0.011500|
"SUPDE/DERCE/DE413"|"2017/06"|31.500000|0.444444|
"SUPDE/DERCE/DE414"|"2017/06"|51.410000|0.077806|
"SUPDE/DERCE/DE415"|"2017/06"|106.810000|0.009362|
"SUPDE/DERCE/DE4D1"|"2017/06"|333.720000|0.191778|
"SUPDE/DERCE/DE4D2"|"2017/06"|417.770000|0.004787|
"SUPDE/DERCE/DE4D3"|"2017/06"|77.500000|0.000000|
"SUPDE/DERCE/DE4D5"|"2017/06"|13.650000|0.659341|
"SUPDE/DERCE/DE4D6"|"2017/06"|1028.240000|0.001945|
"SUPDE/DERCE/DE4D7"|"2017/06"|49.880000|0.040096|
"SUPDE/DERCE/DE4D8"|"2017/06"|296.250000|0.000000|
"SUPDE/DERCE/DE4D9"|"2017/06"|31.500000|0.000000|
"SUPDE/DERCE/DE413"|"2017/07"|192.630000|0.067487|
"SUPDE/DERCE/DE414"|"2017/07"|66.300000|0.000000|
"SUPDE/DERCE/DE415"|"2017/07"|621.390000|0.000000|
"SUPDE/DERCE/DE4D1"|"2017/07"|314.030000|0.000000|
"SUPDE/DERCE/DE4D3"|"2017/07"|191.740000|0.031292|
"SUPDE/DERCE/DE4D6"|"2017/07"|65.250000|0.000000|
"SUPDE/DERCE/DE4D8"|"2017/07"|87.500000|0.011429|
"SUPDE/DERCE/DE411"|"2017/08"|469.240000|0.002131|
"SUPDE/DERCE/DE414"|"2017/08"|76.210000|0.013122|
"SUPDE/DERCE/DE415"|"2017/08"|350.820000|0.005701|
"SUPDE/DERCE/DE4D2"|"2017/08"|58.500000|0.000000|
"SUPDE/DERCE/DE4D6"|"2017/08"|293.250000|0.023870|
"SUPDE/DERCE/DE410"|"2017/09"|363.440000|0.151332|
"SUPDE/DERCE/DE411"|"2017/09"|141.030000|0.099270|
"SUPDE/DERCE/DE414"|"2017/09"|56.540000|0.000000|
"SUPDE/DERCE/DE415"|"2017/09"|154.520000|0.000000|
"SUPDE/DERCE/DE410"|"2017/10"|180.880000|0.000000|
"SUPDE/DERCE/DE413"|"2017/10"|197.730000|0.556314|
"SUPDE/DERCE/DE414"|"2017/10"|131.570000|0.000000|
"SUPDE/DERCE/DE415"|"2017/10"|1169.400000|0.014537|
"SUPDE/DERCE/DE4D1"|"2017/10"|269.630000|0.000000|
"SUPDE/DERCE/DE4D3"|"2017/10"|67.490000|0.000000|
"SUPDE/DERCE/DE4D4"|"2017/10"|175.080000|0.005712|
"SUPDE/DERCE/DE4D7"|"2017/10"|43.780000|0.000000|
"SUPDE/DERCE/DE407"|"2017/11"|93.000000|0.000000|
"SUPDE/DERCE/DE413"|"2017/11"|451.400000|0.084183|
"SUPDE/DERCE/DE414"|"2017/11"|88.050000|0.000000|
"SUPDE/DERCE/DE415"|"2017/11"|80.000000|0.000000|
"SUPDE/DERCE/DE4D2"|"2017/11"|1240.820000|0.017730|
"SUPDE/DERCE/DE4D3"|"2017/11"|95.850000|0.000000|
"SUPDE/DERCE/DE4D7"|"2017/11"|45.660000|0.021901|
"SUPDE/DERCE/DE4D9"|"2017/11"|25.000000|0.000000|
