"Lotação"|"Ano/Mês"|"% Aprop. Desenv. / Ponto-Tre."|"% Aprop. / Ponto"|"% Ges. Int. / Ponto-Tre."|"% Treinamento / Ponto"|
"SUPDE/DERCE"|"2018/01"|0.000000|0.000000|0.000000|0.000000|
"SUPDE/DERCE/DE401"|"2018/01"|0.165860|0.165860|0.000000|0.000000|
"SUPDE/DERCE/DE402"|"2018/01"|0.189349|0.189349|0.000000|0.000000|
"SUPDE/DERCE/DE403"|"2018/01"|0.327445|0.327445|0.000000|0.000000|
"SUPDE/DERCE/DE404"|"2018/01"|0.173985|0.173985|0.000000|0.000000|
"SUPDE/DERCE/DE405"|"2018/01"|0.107383|0.107383|0.000000|0.000000|
"SUPDE/DERCE/DE406"|"2018/01"|0.068151|0.204453|0.054521|0.081781|
"SUPDE/DERCE/DE407"|"2018/01"|0.051608|0.051608|0.000000|0.000000|
"SUPDE/DERCE/DE408"|"2018/01"|0.000000|0.000000|0.000000|0.000000|
"SUPDE/DERCE/DE409"|"2018/01"|0.263014|0.263014|0.000000|0.000000|
"SUPDE/DERCE/DE410"|"2018/01"|0.000000|0.000000|0.000000|0.000000|
"SUPDE/DERCE/DE411"|"2018/01"|0.008613|0.008613|0.000000|0.000000|
